domain,label,article_count,pred_hyper_count,percentage_hyper,avg_confidence,avg_sentiment
leftjustified.com,0,72,1,1.3888888888888888,0.3229629629629629,0.7943999999999998
progressive.org,1,52,21,40.38461538461539,0.48782051282051275,0.8769980769230773
abovethelaw.com,0,129,58,44.96124031007752,0.4825322997416021,0.9552767441860466
geopoliticsalert.com,0,208,46,22.115384615384613,0.4059134615384616,0.8896778846153842
maplight.org,0,186,7,3.763440860215054,0.3288888888888889,0.8547274193548396
pe.com,0,64,0,0.0,0.3110416666666667,0.8895656249999997
lawfareblog.com,0,177,53,29.943502824858758,0.4204331450094162,0.8701231638418075
outsidethebeltway.com,0,163,42,25.766871165644172,0.4161963190184049,0.8328134969325154
downtrend.com,1,18,4,22.22222222222222,0.44148148148148153,0.8653222222222223
insidesources.com,0,198,105,53.03030303030303,0.5081818181818182,0.9142666666666669
startribune.com,0,23,2,8.695652173913043,0.34130434782608693,0.898508695652174
newsbreakshere.com,1,16,0,0.0,0.4041666666666667,0.931
patriotpost.us,1,18,9,50.0,0.5112962962962962,0.8746944444444443
govexec.com,0,76,28,36.84210526315789,0.4618859649122807,0.8699355263157894
townhall.com,1,20,12,60.0,0.495,0.8374
merionwest.com,0,204,156,76.47058823529412,0.5698692810457516,0.944575490196078
iotwreport.com,1,13,0,0.0,0.27487179487179486,0.6403000000000001
weaselzippers.us,1,19,0,0.0,0.2782456140350877,0.7763842105263158
wnd.com,1,18,7,38.88888888888889,0.48185185185185175,0.8939222222222222
meanlefthook.com,1,144,13,9.027777777777777,0.3863425925925926,0.8066611111111112
youngprogressivevoices.com,1,213,61,28.638497652582164,0.4410015649452269,0.8777549295774651
thenewamerican.com,1,20,15,75.0,0.5406666666666666,0.9688199999999998
investmentwatchblog.com,1,16,1,6.25,0.35625,0.84219375
rightedition.com,1,20,8,40.0,0.48550000000000004,0.878885
ncpolicywatch.com,0,187,32,17.11229946524064,0.36354723707664877,0.7963540106951867
guttmacher.org,0,74,1,1.3513513513513513,0.3151801801801802,0.7986554054054056
opednews.com,1,168,66,39.285714285714285,0.4472619047619047,0.8395541666666672
projectveritas.com,1,11,0,0.0,0.24242424242424238,0.7387999999999999
janmorganmedia.com,1,14,2,14.285714285714285,0.43642857142857144,0.899407142857143
bluelivesmatter.blue,1,20,0,0.0,0.2613333333333333,0.8639050000000001
bearingarms.com,1,17,2,11.76470588235294,0.3772549019607843,0.8072176470588236
al.com,0,105,11,10.476190476190476,0.32714285714285707,0.9074990476190473
